Объект,Полный адрес,Вид объекта,Принадлежность к Юнеско,описание предмета охраны
Приоратский парк," Ленинградская область, Гатчинский муниципальный район, Гатчинское городское поселение, город Гатчина, парк ""Приоратский""",Ансамбль,Принадлежит Юнеско,"1. Объемно­ пространственное и планировочное решение территории: Историческое местоположение объекта культурного наследия федерального значения «Приоратский парк» (далее- Ансамбль) южнее объекта культурного наследия «Ансамбль Гатчинского дворца и парка»; градостроительная роль Ансамбля в формировании планировочной и композиционно-пространственной структуры города Гатчина Ленинградской области; историческое объемно­ пространственное решение; местоположение, объемно­ пространственные, конструктивные и планировочные характеристики выявленных объектов культурного наследия на территории Ансамбля:1. «Приоратский парк», конец  1760-х, садовые мастера Гельмгольц, Марселий и др. 1798 г. садовый мастер Джеймс Гекет, по адресу: Ленинградская область, Гатчинский муниципальный район, Гатчинское городское поселение, г. Г атчина, парк «Приоратский»,2. «Приоратский дворец», 1797 -  1798 гг., арх. Н.А. Львов, по адресу: Ленинградская область, Гатчинский муниципальный район, Гатчинское городское поселение, г. Гатчина, парк «Приоратский», д. 1,  3. «Водонапорная башня», 1888 г.,  арх. Н.В. Дмитриев, по адресу: Ленинградская область, Г атчинский муниципальный район, Г атчинское городское поселение, г. Г атчина, улица Чкалова, д. 2Б, 4. «Караулка №1», 1881 - 1883 гг., арх. Л.Ф. Шперер, арх. И.К.  Клодницкий, по адресу: Ленинградская область, Г атчинский муниципальный район, Г атчинское городское поселение, г. Г атчина, ул.  Чкалова, д. 2а, 5. «Караулка №2», 1881 - 1883 гг., арх. Л.Ф. Шперер, арх. И.К.  Клодницкий, по адресу: Ленинградская область, Г атчинский муниципальный район, Г атчинское городское поселение, г. Г атчина, ул.  Чкалова, д. 2/2, 6. «Караулка №3», 1881 - 1883 гг., арх. Л.Ф. Шперер, арх. И.К.  Клодницкий, по адресу: Ленинградская область, Г атчинский муниципальный район, Г атчинское городское поселение, г. Г атчина, ул.  Чкалова, д. 64а, 7. «Караулка №4», 1881 - 1883 гг. арх. Л.Ф. Шперер, арх. И.К.  Клодницкий, по адресу: Ленинградская область, Г атчинский муниципальный район, Г атчинское городское поселение, г. Г атчина, ул.  Киевская, д. 2,  8. «Система дренажных и мелиоративных канав», 1857 г.,  конец 1880-х, по адресу: Ленинградская область, Г атчинский муниципальный район, Г атчинское городское поселение, г. Г атчина, парк «Приоратский»,   9. «Колпанский водовод», 1796-1801 гг., начало 1850-х гг., по адресу: Ленинградская область, Гатчинский муниципальный район, Гатчинское городское поселение, г. Гатчина, от Колпанского озера до безымянного ручья, вытекающего из озера Филькино; исторические габариты и конфигурация зданий и сооружений в составе Ансамбля.  2, Планировочная система: Историческая объемно­ планировочная структура, включая соотношение застроенных и незастроенных, озелененных и неозелененных территорий, сочетание открытых, полуоткрытых и закрытых пространств, гидротехнические системы и сооружения, местоположение зданий, сооружений и элементов благоустройства; историческая дорожно-тропиночная сеть, включая трассировку, профиль и характер покрытия (мощения) дорог, аллей, тропинок; историческое местоположение, конфигурация и конструкции земляного вала со рвом по обе стороны вдоль южной границы парка (ул. Парковой и Сойту); историческое местоположение конфигурации и абрис береговых линий озер и ручьев на территории Ансамбля, в том числе озеро Глухое и Черное озеро с островами; визуальные и композиционные связи."
"Могила Муравьева-Карского Николая Николаевича (1794-1866), одного из организаторов первых преддекабристских тайных обществ в России, крупного военного деятеля и дипломата"," Липецкая область, г. Задонск, ул. Коммуны, 14",Памятник,Не принадлежит Юнеско,"Проект не разработан, предмет охраны не утвержден"
Церковь Преображения Господня," Московская область, Волоколамский городской округ, деревня Сляднево",Памятник,Не принадлежит Юнеско,Не утвержден
Дом Толченова," Московская область, Дмитровский муниципальный район, г/п Дмитров, г. Дмитров, ул. Старо-Рогачевская, д. 34",Памятник,Не принадлежит Юнеско,
Флигель," Московская область, Коломенский г.о., г. Коломна,  Пушкина ул., д. 24",Памятник,Не принадлежит Юнеско,Не утвержден
Усадьба городская," Московская область, Коломенский г.о., г. Коломна, Октябрьской революции ул., 184, 184А",Ансамбль,Не принадлежит Юнеско,"Предмет охраны объекта культурного наследия регионального значения «Усадьба городская, сер. XIX в.: главный дом» по адресу: Московская область, городской округ Коломна, город Коломна, улица Октябрьской революции, дом 184  1. Предметом охраны объекта культурного наследия регионального значения «Усадьба городская, сер. XIX в.: главный дом» (далее – предмет охраны, ансамбль усадьбы, здание) являются:  местоположение и градостроительные характеристики здания, его роль в формировании красной линии улицы Октябрьской революции города Коломны городского округа Коломна Московской области и пространственно-планировочной структуры ансамбля усадьбы;  объемно-пространственная композиция двухэтажного объема сер. XIX в. здания, высотные отметки по венчающим карнизам;  композиционное решение и архитектурно-художественное оформление фасадов сер. XIX в.: местоположение, форма, размер и характер оформления прямоугольных оконных проемов первого этажа и оконных проемов с лучковыми перемычками второго этажа главного северо-восточного фасада, профилированные наличники, белокаменные подоконные полочки, профилированные белокаменные подоконники, профилированные междуэтажный и венчающий карнизы;  материал и характер обработки фасадов сер. XIX в.: белокаменный цоколь, окраска по штукатурке;  колористическое решение фасадов XIX века (уточняется в процессе комплексных научных исследований при производстве реставрационных работ);  конструкция и материал (кирпич) капитальных стен сер. XIX в.  2. Схемы предмета охраны и фотофиксация предмета охраны представлены соответственно в приложениях 1, 2 к настоящему предмету охраны.  3. В соответствии с законодательством Российской Федерации в области охраны объектов культурного наследия в предмет охраны могут быть внесены изменения при обнаружении новых сведений, выявленных в процессе проведения комплексных научных исследований и осуществлении производства реставрационных работ."
Главный дом," Московская область, Коломенский г.о., г. Коломна, Октябрьской революции ул., д. 184",Памятник,Не принадлежит Юнеско,"Предмет охраны объекта культурного наследия регионального значения «Усадьба городская, сер. XIX в.: главный дом» по адресу: Московская область, городской округ Коломна, город Коломна, улица Октябрьской революции, дом 184  1. Предметом охраны объекта культурного наследия регионального значения «Усадьба городская, сер. XIX в.: главный дом» (далее – предмет охраны, ансамбль усадьбы, здание) являются:  местоположение и градостроительные характеристики здания, его роль в формировании красной линии улицы Октябрьской революции города Коломны городского округа Коломна Московской области и пространственно-планировочной структуры ансамбля усадьбы;  объемно-пространственная композиция двухэтажного объема сер. XIX в. здания, высотные отметки по венчающим карнизам;  композиционное решение и архитектурно-художественное оформление фасадов сер. XIX в.: местоположение, форма, размер и характер оформления прямоугольных оконных проемов первого этажа и оконных проемов с лучковыми перемычками второго этажа главного северо-восточного фасада, профилированные наличники, белокаменные подоконные полочки, профилированные белокаменные подоконники, профилированные междуэтажный и венчающий карнизы;  материал и характер обработки фасадов сер. XIX в.: белокаменный цоколь, окраска по штукатурке;  колористическое решение фасадов XIX века (уточняется в процессе комплексных научных исследований при производстве реставрационных работ);  конструкция и материал (кирпич) капитальных стен сер. XIX в.  2. Схемы предмета охраны и фотофиксация предмета охраны представлены соответственно в приложениях 1, 2 к настоящему предмету охраны.  3. В соответствии с законодательством Российской Федерации в области охраны объектов культурного наследия в предмет охраны могут быть внесены изменения при обнаружении новых сведений, выявленных в процессе проведения комплексных научных исследований и осуществлении производства реставрационных работ."
Флигель," Московская область, Коломенский г.о., г. Коломна, Октябрьской революции ул., д. 184 А",Памятник,Не принадлежит Юнеско,
Усадьба Мокеева," Московская область, Коломенский г.о., г. Коломна, Октябрьской революции ул.,182,. 182 А, 182 Б",Ансамбль,Не принадлежит Юнеско,Не утвержден
Усадьба городская," Московская область, Коломенский г.о., г. Коломна, Посадская ул., дд.13, 13 а, 13 в",Ансамбль,Не принадлежит Юнеско,
Главный дом," Московская область, Коломенский г.о., г. Коломна, Пушкина ул., д. 26",Памятник,Не принадлежит Юнеско,Не утвержден
Усадьба Лусковских (Слоновых)," Московская область, Коломенский г.о., г. Коломна, Пушкина ул., дд. 24, 26",Ансамбль,Не принадлежит Юнеско,Не утвержден
Усадьба Шапошниковых," Московская область, Коломенский г.о., г. Коломна, Савельича ул., 14, 14 А, 14 Б",Ансамбль,Не принадлежит Юнеско,Не утвержден
Флигель," Московская область, Коломенский г.о., г. Коломна, Савельича ул., д. 35",Памятник,Не принадлежит Юнеско,
Усадьба Новиковых," Московская область, Коломенский г.о., г. Коломна, Савельича ул., д. 35",Ансамбль,Не принадлежит Юнеско,
Ограда с воротами," Московская область, Коломенский г.о., г. Коломна, Савельича ул., д. 35",Памятник,Не принадлежит Юнеско,
Главный дом," Московская область, Коломенский г.о., г. Коломна, Савельича ул., д. 35",Памятник,Не принадлежит Юнеско,
Флигель," Московская область, Коломенский г.о., г. Коломна, Савельича ул., д., 14 Б",Памятник,Не принадлежит Юнеско,Не утвержден
"Усадьба ""Алешково"""," Московская область, Ступинский муниципальный район,городское поселение Ступино, д. Алешково, ул. Успенская, вл. 2а",Ансамбль,Не принадлежит Юнеско,"1. Предметом охраны объекта культурного наследия федерального значения ""Усадьба ""Алешково"", конец XVIII - начало XIX вв."" (далее - ансамбль усадьбы) являются:  1) местоположение и градостроительная роль ансамбля усадьбы конца XVIII - начала XIX веков, участвующего в формировании планировочной и ландшафтно-пространственной структуры деревни Алешково Ступинского района Московской области;  2) пространственно-планировочная структура ансамбля усадьбы конца XVIII - начала XIX веков, включая главную планировочную ось усадьбы, проходящую через парадный двор, главный дом, центральную аллею парка; трассы исторических дорог и аллей, парк; соотношение застроенных и незастроенных территорий; открытых, закрытых и полузакрытых типов пространств;  3) здания и сооружения, участвующие в формировании композиционно-пространственной структуры ансамбля усадьбы конца XVIII-XIX веков, обеспечивающие совместное восприятие элементов ансамбля, включая главный дом с двумя флигелями и переходными галереями между главным домом и флигелями начала XIX в.; два служебных корпуса; Успенскую церковь, 1819 г.; конный двор: центральный корпус, боковой служебный корпус (N 1), боковой служебный корпус (N 2); ограду парадного двора с воротами; хозяйственный корпус (XIX век); водонапорную башню (XIX век); хозяйственный корпус (начало XX века); их местоположение, габариты, высотные и силуэтные характеристики;  4) элементы исторического озеленения и благоустройства ансамбля усадьбы конца XVIII - начала XIX веков, включая аллеи и рядовые посадки липы и лиственницы в парадной и хозяйственной зонах ансамбля, регулярный липовый парк с аллеями со старовозрастными деревьями;  5) композиционно-пространственная структура усадебного парка конца XVIII - начала XIX веков, сложившаяся из четырех прямоугольных боскетов, образованных липовыми аллеями и рядовыми посадками (уточняется в процессе комплексных научных исследований и осуществления производства реставрационных работ);  6) особенности рельефа территории ансамбля усадьбы конца XVIII - начала XIX веков: территория с ровным рельефом, примыкающая к высокому пологому склону оврага; склон оврага;  7) гидрография ансамбля усадьбы конца XVIII - начала XIX веков, в том числе ложе усадебного пруда и русло ручья, протекающего по дну оврага;  8) основные видовые раскрытия ансамбля усадьбы, в том числе: от въездной дороги на Успенскую церковь; с территории парадного двора на конный двор и Успенскую церковь; от восточной аллеи парка на конный двор и Успенскую церковь; виды, открывающиеся от ворот ограды парадного двора на село и окрестности; видовые раскрытия с западного склона оврага на ансамбль усадьбы.  2. Предмет охраны может быть дополнен в процессе комплексных научных исследований и осуществления производства реставрационных работ."
Ограда парадного двора с воротами," Московская область, Ступинский муниципальный район,городское поселение Ступино, д. Алешково, ул. Успенская, вл. 2а",Памятник,Не принадлежит Юнеско,"1. Предметом охраны памятника истории и культуры ""Ограда парадного двора с воротами"" (далее - ограда с воротами), входящего в состав объекта культурного наследия федерального значения ""Усадьба ""Алешково"", конец XVIII - начало XIX вв."" (далее - ансамбль усадьбы ""Алешково""), являются:  1) местоположение ограды с воротами, их роль в композиционно-планировочной структуре ансамбля усадьбы ""Алешково"";  2) объемно-пространственная композиция ограды с воротами начала XIX века, включая местоположение утраченных прясел ограды; высотные отметки;  3) композиционное решение и архитектурно-художественное оформление фасадов начала XIX века (уточняется в процессе комплексных научных исследований и осуществления производства реставрационных работ), в том числе ограда: столбы и прясла с арками; ворота: два пилона, соединенные аркой, кирпичный цоколь с белокаменным поясом, пинакли, белокаменные детали (сдвоенные колонны дорического ордера с антаблементом, замковые камни, профилированный карниз), круглые ниши, подставы с белокаменными опорными блоками;  4) материал и характер отделки фасадных поверхностей начала XIX века (уточняется в процессе комплексных научных исследований и осуществления производства реставрационных работ);  5) колористическое решение фасадов начала XIX века (уточняется в процессе комплексных научных исследований и осуществления производства реставрационных работ);  6) капитальные стены, опоры начала XIX века (кирпичные), их материал и конструкция.  2. Предмет охраны может быть дополнен в процессе комплексных научных исследований и осуществления производства реставрационных работ."
Собор Троицкий. Остатки ограды," Московская область, городской округ Серпухов, г. Серпухов, ул. Красная Гора",Ансамбль,Не принадлежит Юнеско,
Остатки ограды," Московская область, городской округ Серпухов, г. Серпухов, ул. Красная Гора",Памятник,Не принадлежит Юнеско,"Предмет охраны  объекта культурного наследия федерального значения «Собор Троицкий, 1696 г. Остатки ограды, XVI в.» по адресу: Московская область, г. Серпухов (в настоящее время – Московская область, городской округ Серпухов, город Серпухов, улица Красная гора)    1. Предметом охраны объекта культурного наследия федерального значения «Собор Троицкий, 1696 г. Остатки ограды, XVI в.» (далее – предмет охраны, собор, ограда) являются:   1) Собор:  местоположение, градостроительные и силуэтные характеристики собора 1696 г., XIX в., участвующего в формировании исторической застройки улицы Красная Гора, его роль в пространственно-планировочной структуре исторического центра города Серпухова;  объемно-пространственная композиция собора 1696 г., XIX в., включающая основной объем храма типа «восьмерик на четверике» с трехчастной апсидой, объемы приделов с полукруглыми апсидами, четырёхколонный портик на северном фасаде, четырехколонный портик на западном фасаде, шатровую колокольню, высотные отметки по венчающим карнизам (с учетом реставрационных работ 1960-1980-х гг.);  конфигурация (посводные покрытия восьмерика, приделов и апсид, скатные покрытия четверика и трапезной), конструкция, материал (металл) и характер кровельного покрытия крыш и купольных завершений, высотные отметки по конькам, верхним точкам, подкрестным яблокам (с учетом реставрационных работ 1960-1980-х гг.);  композиционное решение и архитектурно-художественное оформление фасадов собора 1696 г., XIX в., в том числе местоположение, форма и характер оформления оконных и дверных проемов, включая полуциркульные окна, арочные проемы звона колокольни, люкарны шатра колокольни, наличники с полуколонками и треугольными раскрепованными сандриками, профилированные рамочные наличники, веерные сандрики с замковыми камнями, белокаменные подоконные полочки, полуциркульные и арочные ниши, четырёхколонный портик северного фасада, четырехколонный портик западного фасада, сдвоенные угловые полуколонны четверика, угловые пилястры граней восьмерика, ленточный руст, белокаменный цоколь, белокаменный венчающий карниз, многопрофильный венчающий карниз с поребриком и аркатурным поясом (с учетом реставрационных работ 1960-1980-х гг.);   материал и характер отделки фасадных поверхностей XIX в., окраска по штукатурке, ленточный руст, белокаменный цоколь;  колористическое решение фасадов собора 1696 г., XIX в., (уточняется в процессе проведения комплексных научных исследований и осуществлении производства реставрационных работ);  металлические кованые решетки XIX в. в оконных проемах четверика и приделов (с учетом реставрационных работ 1960-1980-х гг.);  конструкции и материал (кирпич) капитальных стен и сводчатых перекрытий собора 1696 г., XIX в., в том числе восьмидольный сомкнутый свод восьмерика, тромпы, три конхи с распалубками в апсиде четверика, цилиндрические своды в трапезной и приделах, конхи апсид приделов, паруса, полуциркульный свод в помещении над притвором, ступенчатый цилиндрический свод в ходе на колокольню, шатер в завершении колокольни;  пространственно-планировочная структура интерьеров собора в пределах капитальных стен и сводчатых перекрытий 1696 г., XIX в.;  архитектурно-художественное оформление интерьеров собора 1696 г., XIX в., в том числе аркатурный пояс в завершении восьмерика, арки, ниши, воздушные связи 1-й пол. XIХ в., белокаменные плиты пола 1840-х гг., белокаменная резная могильная плита XVIII в. в основании стены притвора;  металлические двустворчатые полотнища входных дверей XIX в., их материал и характер оформления (кованые полосы с заклепками, образующие квадраты), кованые подставы, жиковины (с учетом реставрационных работ   1960-1980-х гг.);  внутристенная лестница на колокольню 1696 г., ее местоположение, конструкция, материал (белый камень) и характер оформления ступеней;  2) ограда:  местоположение, градостроительные и силуэтные характеристики двух фрагментов крепостной стены ограды XVI в., участвующих в формировании исторической застройки улицы Красная Гора, их роль в пространственно-планировочной структуре исторического центра города Серпухова;  композиционное решение и архитектурно-художественное оформление стен ограды XVI в., в том числе арки, ниши, бойницы, пилоны, контрфорсы;  конструкция, материал (белый камень, бут) и характер отделки стен ограды.  2. Схемы предмета охраны и фотофиксация предмета охраны представлены соответственно в приложениях 1, 2 к настоящему предмету охраны.  3. В соответствии с законодательством Российской Федерации в области охраны объектов культурного наследия в предмет охраны могут быть внесены изменения при обнаружении новых сведений, выявленных в процессе проведения комплексных научных исследований и осуществлении производства реставрационных работ."
Собор Троицкий," Московская область, городской округ Серпухов, г. Серпухов, ул. Красная Гора",Памятник,Не принадлежит Юнеско,
Дом Хомякова (деревянный)," Нижегородская область, г. Арзамас, Советская ул., 21",Памятник,Не принадлежит Юнеско,
Церковь Спаса Преображения," Новгородская область, Новгородский район, д. Бронница, ул. Бронницкая",Памятник,Не принадлежит Юнеско,"А. Градостроительная охрана  Местоположение: на левом берегу при впадении р. Глушица в р. Мста; западный фасад ориентирован на Московское шоссе, северный фасад на р. Мста, восточный фасад на р. Глушица; среди малоэтажной сельской застройки; композиционная значимость в структуре окружающего природного и культурного ландшафта: композиционное ядро; секторы и направления видовых раскрытий: наилучшим видовым ракурсом является вид с правого берега р. Мста.  Б. Архитектурная охрана  Здание в целом: композиционное решение: сложная симметричная композиция разновеликих объемов, вытянутая по центральной продольной оси; конфигурация здания: крестообразная форма в плане, образованная триконхом в восточной части, прямоугольными разновеликими объемами трапезной, колокольни, притвора в западной части; объемно-пространственная структура: две вертикали (церковь и колокольня) в восточной и западной частях композиции, образованные восьмериком церкви с укороченными диагональными ребрами, увенчанным восьмигранным световым барабаном с криволинейным карнизом и шлемовидным куполом с восьмиконечным крестом; двумя разновеликими четвериками и восьмериком яруса звона колокольни с укороченными диагональными ребрами, криволинейным карнизом и шлемовидным куполом с восьмиконечным крестом; стилистика: эклектика с элементами русско-византийского стиля; габариты и формы объемов здания; силуэт; пропорции; конструктивное решение; материал строительства и отделки стен (кирпич, штукатурка, окраска); форма, конструкция, материал, характер кровельных покрытий; организованный водоотвод; высотные отметки объемов; архитектурно-удожественное оформление фасадов; колористическое решение фасадов, интерьеров; пространственно-планировочная структура интерьеров; архитектурно-художественное оформление интерьеров; местоположение, форма, размер и оформление оконных и дверных проемов; местоположение, материал, конструкция, габариты готовых изделий из металла; историческая расстекловка оконных столярных заполнений; внутреннее декоративно-художественное убранство.  Фасады в целом: симметричное решение южного и северного фасадов; оконные проемы, ложные окна с арочными перемычками, обрамленные профилированными наличниками; выступающий уступчатый цоколь с профилированной тягой; профилированные тяги, карнизы: местоположение, форма; наружные открытые крыльца: расположение, форма, материал, габариты;  южный и северный фасады, 1-ый ярус: южная и северная апсидиолы полукруглой формы с полукупольными крышами; профилированный венчающий карниз с раскреповками; спаренные полуколонны с базами и капителями, фланкирующие диагональные грани восьмерика церкви; полукруглые фронтоны, обрамленные профилированной тягой; бочкообразные крыши с металлическим покрытием восьмерика церкви, прямоугольных боковых выступов колокольни; две дымовых трубы над карнизом с южной и северной стороны церкви; одна дымовая труба с северной стороны трапезной; ложное окно диагональных граней восьмерика церкви; профилированная горизонтальная тяга под подоконниками оконных проемов; ниши-филенки прямоугольной формы под оконными проемами и нишами; три оконных проема в северной апсидиоле, два – в южной; один дверной проем с арочной перемычкой по центральной оси южной апсидиолы; по два оконных проема на южном и северном фасадах трапезной; бочкообразная крыша трапезной с металлическим покрытием; пучки из трех полуколонн на внешних углах прямоугольных выступов колокольни; по одному оконному проему, по одному круглому проему в нише в тимпане фронтона на южном и северном фасадах боковых прямоугольных выступов колокольни; заполнения оконных проемов деревянные, две рамы: наружная и внутренняя, шестичастная расстекловка до пяты арки, в арочной части четырехчастная; металлические решетки с рисунком, установленные между рамами; заполнение дверного проема южной апсидиолы двойное: наружная и тамбурная двери деревянные, филенчатые, двупольные, с поковками, с остекленной фрамугой; пилястры, фланкирующие южный и северный фасады западного притвора; двускатная крыша с металлическим покрытием; по одному оконному проему с арочной перемычкой, обрамленному профилированным наличником, на южном и северном фасадах западного притвора; четырехчастная расстекловка до пяты арки, в арочной части двухчастная;  апсида: полукруглая форма; полукупольная крыша с металлическим покрытием;антаблемент: профилированный венчающий карниз, гладкий фриз, архитрав;три оконных проема;дымовая труба над карнизом с северной стороны;  западный притвор, западный фасад:фланкирующие пилястры западного притвора;полуфронтон, увенчанный миниатюрной луковичной главкой с металлическим крестом на постаменте;круглая ниша в тимпане полуфронтона; икона «Преображение Господне» в нише;дверной проем с арочной перемычкой в центре, обрамленный пилястрами и архивольтом;текстовая надпись в поле архивольта;дверь двупольная, обитая металлом, с поковками, на металлических подставах;членение западного фасада колокольни (1-ый ярус) на три прясла;спаренные полуколонны, фланкирующие центральное прясло;архивольт; круглый проем в нише в тимпане;прямоугольный дверной проем входа в колокольню; дверь однопольная деревянная, шпоночная;  барабан церкви: равносторонний восьмиугольник в плане;уширенное основание, подчеркнутое горизонтальной профилированной тягой;полуколонны, фланкирующие каждую грань, с консольным опиранием в нижней части;полукруглый полуфронтон, обрамленный профилированной тягой, в верхней части каждой грани;четыре оконных проема с арочной перемычкой, четыре ложных окна на диагональных гранях;  металлические решетки с рисунком, установленные со стороны фасада;одинарная деревянная рама в каждом проеме;шестичастная расстекловка до пяты арки, в арочной части двухчастная;  шлемовидный купол с металлическим покрытием; крест восьмиконечный, металлический, ажурный;  колокольня, 2-ой ярус: прямоугольная форма в плане; четыре проема с арочной перемычкой; рельефная окантовка арки; горизонтальная профилированная тяга в уровне подоконников проемов;  профилированный карниз с раскреповками; широкие огибающие пилястры; декор пилястры: вертикальные желобки, два боковых, один центральный; треугольные ниши с профилированным обрамлением;  колокольня, ярус звона: неравносторонний восьмиугольник в плане; уширенное основание; полуколонны, фланкирующие каждую грань, с опиранием в нижней части на прямоугольный выступ;  полукруглый полуфронтон, обрамленный профилированной тягой, в верхней части основных граней; полуфронтон стрельчатой формы, обрамленный профилированной тягой, в верхней части диагональных граней; четыре проема с арочной перемычкой; деревянные подколокольные балки; металлическое ограждение простого геометрического рисунка; шлемовидный купол с металлическим покрытием; крест восьмиконечный, металлический, ажурный.  Интерьер в целом: уровни полов и перекрытий; количество, форма, размеры и расположение проемов во внутренних стенах; пространственные характеристики каждого объема; внутренняя отделка: штукатурка, окраска, окраска «под малахит» нижней части стен; живописные композиции на стенах, сводах, софитах арок, в люнетах церкви, трапезной; профилированные карнизы, тяги: местоположение, форма;  профилированные наличники оконных проемов; печи круглые голландские в железных футлярах: одна в апсиде, по одной в южном и северном рукавах креста церкви, одна в трапезной; пол церкви, трапезной из метлахской восьмиугольной плитки (октагон) двух цветов (желтого и красного) с прямоугольными вставками серого цвета;  интерьер церкви: цилиндрические своды церкви; паруса; сомкнутый по граням свод барабана; конхи апсидиол, апсиды; крестообразная форма церкви в плане; два прямоугольных выступа, перекрытые арками, на стенах каждого рукава креста; профилированный карниз в уровне пят сводов;  хоры: форма (восьмиугольный в плане), расположение (в уровне пят арок церкви, над карнизом), материал (деревянные, окрашенные); деревянные панели ограждения, раскрашенные орнаментами;  деревянный резной иконостас: трехъярусный, первый и второй яруса с пятичастным членением, третий – с семичастным; деревянные напольные киоты для икон с резными деталями; двухъярусное паникадило из просечного металла; металлическое ажурное ограждение солеи; воздушные металлические связи: четыре, по две во взаимно перпендикулярных направлениях, в уровне пяты свода барабана;   трапезная:крестовый свод; колокольня, 1-ый ярус: два прямоугольных выступа, перекрытые арками, на южной и северной стенах; дверной проем с арочной перемычкой в западной стене; дверь деревянная, двупольная, филенчатая, остекленная с остекленной фрамугой; прямоугольный дверной проем в южной стене; западный притвор: цилиндрический свод, состоящий из кирпичных сводиков по металлическим балкам (своды Монье).   Ограда: столбы прямоугольные, кирпичные, оштукатуренные, побеленные в западной линии ограды."
