Объект,Полный адрес,Вид объекта,описание предмета охраны
Варница Никольская," Пермский край, г.о. город Березники, г. Усолье, ул. Спасская, д. 11 стр. 2.",Памятник,"1. Градостроительные особенности:  1.1 Расположение с отступом от линии застройки ул. Спасская на территории Нижних промыслов (историческая часть современного г. Усолье)     1.2 Основные точки восприятия вдоль улицы Спасской    2. Архитектурные особенности  (экстерьер):  2.1 Объемно – пространственное решение – прямоугольное в плане одноэтажное здание под скатной крышей     2.2 Материал стен – полнотелый керамический кирпич начала 19 в.   2.3 Материал фасадной поверхности – лицевая кладка, побелка     2.4 Характер архитектурного декора фасадов в стилистике позднего классицизма:    2.4.1 Венчающий профилированный карниз    2.4.2 Лучковые окна с клинчатыми перемысками и имитацией замкового камня, со ступенчатыми подоконниками    2.4.3 Фланкирующие рустованные лопатки    3. Архитектурные особенности (интерьер):  3.1 Планировочное решение – расположение капитальных стен     4. Мемориальные особенности  4.1 Подлинный объект материальной культуры начала 19 в., свидетельствующий о социально-экономическом развитии региона   "
Памятник героям гражданской войны ," Приморский край, г. Спасск-Дальний, ул. Советская,  у МБОУ СОШ № 1",Памятник,
Дом жилой," Псковская область,  Печорский район, г. Печоры, ул. Каштановая, д. 2",Памятник,
Монастырь Спасо-Казанский. Комплекс," Псковская область, Островский район, г. Остров, ул. Малая Пионерская, д. 80",Ансамбль,
Достопримечательное место «Территория бывшего концентрационного лагеря «Моглино»," Псковская область, Псковский район, Тямшанская волость, д. Моглино, 11 км по Рижскому шоссе в сторону Риги",Достопримечательное место,
Братские кельи," Псковская область, г. Псков, Мирожский монастырь, д. 4",Памятник,
Банька монастырская," Псковская область, г. Псков, Мирожский монастырь, д. 5",Памятник,
Ограда каменная с южными воротами," Псковская область, г. Псков, Мирожский монастырь, д. 6",Памятник,
«ШТАЛАГ 372» - территория концентрационного лагеря с массовыми захоронениями советских военнопленных  и мирных граждан," Псковская область, г. Псков, территория между улицами Юбилейная, Генерала Маргелова, Шестака и Майора Доставалова",Достопримечательное место,
Родильный дом," Псковская область, г. Псков, ул. Кузнецкая, д. 21",Памятник,"Объемно-пространственная композиция главного корпуса здания;  конструкция, форма и высотные отметки крыши;  композиция фасадов здания: центрально-осевая симметрия, раскреповка стен, ризалиты, расположение и габариты оконных и дверных проемов, разорванный фронтон центрального ризалита, прямоугольные оконные ниши боковых фасадов, балкон дворового фасада;  декор фасадов: горизонтальные элементы композиции фасадов - штукатурный цоколь, подоконные тяги, венчающий карниз; декор главного фасада - профилированные порталы боковых ризалитов, замковые камни окон 1-го этажа, архивольты окон 2-го этажа, круглые медальоны в простенках окон 2-го этажа и овальный медальон в тимпане центрального ризалита; рамочный наличник, фриз и сандрик в форме ступенчатой полочки парадного входа в здание;  планировка в пределах капитальных стен с сохранением коридорной системы и основных пространственных связей;  материал и конструкция междуэтажных лестниц (двухмаршевые, бетонные по металлическим косоурам).  "
Особняк," Псковская область, город Псков, улица Красных партизан, д. 13",Памятник,"1. Объемно-пространственная композиция дома, складывающаяся из основного объема и пристроек.   1. Архитектурная композиция и декор фасадов:   - расположение оконных проемов в одних вертикальных осях в цокольном и первом этажах уличного фасада;  - габариты, форма и конструкция первоначальных оконных и дверных проемов на фасадах дома;  - местоположение парадного входа с лестницей в деревянной пристройке с южной стороны фасада;  - двухскатная и односкатная форма крыши;  - резной деревянный декор западного и южного фасада 1-го этажа основного объема, имитирующий приемы каменной оштукатуренной кладки - карниз большого выноса,  резные кронштейны, филенчатые лопатки,  оконные наличники, прямые сандрики с горизонтальными ромбами, прямоугольные филенки с ромбами, резные оконные накладки, прямоугольные подоконные филенки с полукруглыми боковыми выступами, деревянный наличник чердачного окна, имитирующий руст;  - междуэтажный карниз завершения цокольной части;  - декоративные «замки» цокольной части;   - резной деревянный декор пристройки - угловые филенчатые лопатки, карниз и парапет с полукруглым завершением центральной части, угловыми тумбами и филенкой, изображающей сложное окно с гирькой;  2. Материал стен: цокольного этажа – камень, штукатурка; первого  этажа и мезонина – деревянный сруб, обшитый тесом.  3. Первоначальная анфиладная планировка основного объема.  4. Сохранившиеся потолочные карнизы.  "
Сторожевая  башня  Дзоциева  Барко," Республика  Северная  Осетия-Алания,  Алагирский  район,  с.с. Н. Зарамаг  и  В. Зарамаг",Памятник,"1. Место расположения башни в планировочной структуре селения.  2. Градостроительная значимость Памятника, как объекта, маркирующего южный отселок Нижнего Зарамага, известный как Дзоцитыкау.  3. Композиционная значимость в структуре застройки села.  Башня и усадьба находятся на южном отселке (Дзоцитыкау) Нижннго Зарамага, на невысоком холме, откуда открывается вид на всю обширную Зарамагскую котловину.  4. Участок, его историческая застройка (границы, состав застройки и элементов благоустройства), рельеф территории.  5. Археологический подъемный материал в границах территории памятника.  Расположенные под дерновым слоем пласты грунтов, образовавшиеся в процессе жизнедеятельности человека и содержащие в себе недвижимые остатки и предметы материальной культуры:   а) полностью или частично скрытые в земле остатки и фрагменты хозяйственных, производственных, ритуальных и иных сооружений; б) полностью или частично скрытые в земле либо находящиеся на ее поверхности целые либо фрагментированные предметы, изготовленные из глины, камня, кости, стекла, металлов и иных материалов, в том числе остеологического материала.  6. Силуэтная характеристика объекта и его связь с природной средой – лаконичный по формам объем многоярусного сооружения, органично вписан в ландшафт.  7. Типологические характеристики, включая объемно-планировочное решение и фасады. Комплекс из жилых, оборонительных и хозяйственных сооружений  8. Сохранившиеся конструкции башни и других строений и конструкций, их конфигурация, материал.  9. Основные габариты (в том числе толщина стен): Габариты башни 6,10 х 6,10 (м). Толщина стен в уровне второго яруса — 1,10 м. Высота стен башни сохранилась на высоту 7,60 м (трех ярусов). Габариты камеры башни 3,00x3,00 (м).  10. Входной проем, его расположение, размеры, форма, конструкция.  Входной проем устроен в южном фасаде, в уровне второго яруса. Габариты: ширина- 0,80 и 1,00 м, высота- 1,40 и 1,80 м.  11. Коробка деревянного заполнения входного проема.  12. Две подпрямоугольные бойницы в уровне третьего яруса на восточном фасаде, их расположение, размеры, форма.  13. Материал, из которого построена башня, – природный камень: известняковые, гранитные, сланцевые блоки, ломаный пластинчатый сланец, булыжник, (цветовая гамма - серый, коричневый)  14. Характер кладки - бутовая, с хаотичной перевязкой швов.    "
"Замок (ганах) Худаловых, Святилище ""Саниба"", склепы"," Республика  Северная  Осетия-Алания, Алагирский район, с. Архон. ",Ансамбль,"Предметом охраны объекта культурного наследия регионального значения «Склепы», входящего в состав объекта культурного наследия регионального значения «Замок (ганах) Худаловых, средние вв. Святилище «Саниба», склепы», расположенного по адресу: Республика Северная Осетия-Алания, Алагирский район, с. Архон, являются:  градостроительная характеристика комплекса в формировании исторической застройки селения Архон;  материалы и техника кладки склепов;  пространственно-планировочная структура интерьера склепов могильника в пределах капитальных стен;  композиционное решение и архитектурно-художественное оформление сооружений, включая местоположение, размер, форму, оформление проемов, сводов, ниш, элементов декора;  объемно-пространственная композиция, планировка, застройка, природный ландшафт, археологический слой, объемно-пространственная структура, фрагментарное и руинированное наследие, форма и облик элементов, объединенных масштабом, объемом, структурой, стилем, материалами, цветом и декоративными элементами, соотношение с природным и созданным человеком окружением.  Предметом охраны объекта культурного наследия регионального значения «Замок (ганах) Худаловых, средние вв.», расположенного по адресу: Республика Северная Осетия-Алания, Алагирский район, с. Архон, являются:  объемно-пространственное решение: исторические габариты и  конфигурация (неправильная в плане), вид материала (каменная);  историческое объемно-планировочное решение ганаха в габаритах наружных стен;  конструктивная система: исторические наружные стены  местоположение; фундамент - историческое местоположение;  архитектурно-художественное решение фасадов: материал и вид отделки фасадов - каменная кладка, сложена из разноразмерного каменного материала на известковом растворе."
Склеп наземный," Республика  Северная  Осетия-Алания, Ирафский  район, с. Дунта",Памятник,"Предметом охраны объекта культурного наследия регионального значения «Склеп наземный», расположенного по адресу: Республика Северная Осетия-Алания, Ирафский район, с. Дунта, являются:  основные габариты (в том числе толщина стен); композиционная значимость склепа в структуре селения;  Участок и его границы; рельеф участка;  силуэтная характеристика объекта и природной среды; типологические характеристики строения, включая объемное решение и фасад;  конструкции склепа. Объемно-планировочное решение, высота и конфигурация;  лаз, его размеры и форма;  археологические недвижимые и движимые объекты, содержащиеся в склепе, и под ним (погребальные и поминальные конструкции, антропологические и остеологические материалы, археологические предметы, следы погребальных и поминальных ритуалов);  характер кладки - бутовая, с хаотичной перевязкой швов; характер и состав обмазки стен;  материал, из которого построен склеп - гранитные, известняковые и сланцевые блоки (цветовая гамма - светло-серый, светло-коричневый)."
Бюст адыгейскому ашугу Цугу Теучежу," Республика Адыгея, Теучежский район, аул Понежукай, улица Ленина, 69",Памятник,"Бюст – 1,10м, постамент железобетонный прямоугольный – 1,50м?1,30м?1,35м, информационная металлическая плита квадратная – 0,40м?0,40м с надписью: «Цуг Алиевич Теучеж. Народный поэт Адыгеи. 1855-1940гг», стилобат железобетонный квадратный – 1,90м?1,90м?0,20м. "
Нагайбакская церковь," Республика Башкортостан, Бакалинский район, Новоурсаевский сельсовет, с.Нагабайково, ул.Центральная, напротив школы",Памятник,
Уфимская уездная земская управа," Республика Башкортостан, г. Уфа, Кировский район, ул. Заки Валиди, 48",Памятник,
Сигнально-сторожевая башня," Республика Дагестан, Кулинский район, с.Цовкра-2, юго-западная окраина села",Памятник,
Мавзолей Хаджи-Муса хаджи," Республика Дагестан, Лакский район, с. Кукни, на кладбище",Памятник,
Стела надмогильная," Республика Дагестан, Тляратинский район, с.Тилутль, в 0,3-0,5 км к югу от села",Памятник,
Башня сторожевая," Республика Дагестан, Чародинский район, с.Тлярош, в 1 км на юго-запад от села",Памятник,
Дом жилой красильщика Олина," Республика Карелия, г. Сортавала, ул. Октябрьская, д. 5",Памятник,"Градостроительная ситуация:  - рядовое положение в планировочной структуре улиц с главным фасадом, расположенным по красной линии ул. Октябрьской.  Объемно-планировочная структура и архитектурное решение:   - исторически сложившаяся объёмно-планировочная структура: прямоугольный в плане одноэтажный объем под вальмовой крышей, с примыкающими со стороны двора сенями под двухскатной крышей, тамбуром со стороны левого бокового фасада с мезонином под двухскатной крышей;  - конфигурация и габаритные размеры плана здания по внешнему контуру;  - относительные высотные отметки основного объёма здания, сеней, тамбура, верхнего обреза стен, крыш, мезонина, карниза, оконных и дверных проёмов;  - месторасположение, конфигурация и параметры исторических оконных и дверных проёмов и простенков между ними, основного объема и объемов сеней, тамбура;  - характер отделки стен - историческая обшивка доской в горизонтальном направлении с дощатыми лопатками, оформляющими углы здания;  - месторасположение, конфигурация и характер расстекловки исторических окон в сенях на дворовом фасаде: нижняя часть окна с четырехчастной расстекловкой, верхняя с пятичастной расстекловкой с расположенным по центру ромбом;  - местоположение, конфигурация подкарннзных чердачных окон, профиль сечения их наличников;  - месторасположение, конфигурация и параметры профилированного карниза с тягами в уровне чердачного перекрытия.  Конструктивные особенности:  - материал и конструкция бутобетонного ленточного фундамента;  - материал и конструкция гранитного цоколя;  - материал и конструкция несущих наружных и внутренних стен (деревянных, рубленных из бруса);  - материал и конструкция деревянных перекрытий;  - конструкция и конфигурация стропильной вальмовой крыши основного объема, двухскатной крыши сеней со стороны дворового фасада, тамбура под односкатной крышей с левого бокового фасада с мезонином под двухскатной крышей;  - высотные отметки и уклоны всех элементов крыши.  *Предмет охраны уточняется при проведении реставрационных исследований.  "
"Памятный знак в честь Строда Ивана Яковлевича, героя Гражданской войны в Якутии"," Республика Саха (Якутия), Амгинский улус (район), с. Амга, площадь Славы",Памятник,"Предметом охраны объекта культурного наследия  «Памятный знак в честь Строда Ивана Яковлевича, героя Гражданской войны в Якутии»  являются:  Местоположение и габариты памятника, участвующего в формировании пространственно-композиционного плана площади;   Памятник-бюст Строда И.Я. из искусственного гранита;  Бетонный постамент  памятника-бюста Строда И.Я.;  Мемориальная чугунная плита на постаменте  размером (28х19 см.) с надписью «Строд Иван Яковлевич. 1894-1938».  "
"Памятник воинам-землякам, погибшим в годы Великой Отечественной войны (1941-1945)"," Республика Саха (Якутия), Верхневилюйский улус (район), Намский наслег, с. Хомустах, ул. Ленина, 30",Памятник,"Предметом охраны объекта культурного наследия «Памятник воинам-землякам, погибшим в годы Великой Отечественной войны (1941-1945)» являются:  стела из железобетона;  барельеф ордена Великой Отечественной Войны, надпись “1941-1945”, барельеф головы солдата в каске и дюралюминиевые таблички с именами павших воинов на лицевой (северной) грани стелы;  изображение в технике врезки меча, воткнувшего фашистскую свастику, на западной грани стелы;  изображения в технике врезки голуби мира, надпись «Эйэ туругурдун!» и цветок Сардаана (Лилия) на южной грани стелы;  постамент стелы из железобетона;  бетонный сосуд;  бетонная площадка памятника;  объемная пятиконечная звезда.   "
"Дом, где 12-13 июля 1918 г. проходил уездный съезд Советов."," Республика Саха (Якутия), Верхневилюйский улус (район), с. Верхневилюйск, ул. Героя Васильева, 1",Памятник,"Предметом охраны объекта культурного наследия «Дом, где 12-13 июля 1918 г. проходил уездный съезд Советов» являются:  -местоположение и объемно-пространственная характеристика одноэтажного деревянного здания, участвующего в формировании пространственно-композиционного плана села;  -габариты и характер столярной обработки дома, вальмовой крыши и её высотные отметки;   -конфигурация и оформление исторических (оригинальных) дверных и оконных проемов здания, столярное оформление оконных и дверных проёмов;  -архитектурно-художественное оформление фасадов, сложившееся в XX в.;  -характер обработки фасадных поверхностей здания наружных стен;  Не являются предметом охраны объекта культурного наследия предметы,  расположенные в памятнике.  "
"Памятник ""Никто не забыт, ничто не забыто"", посвященный погибшим воинам в годы Великой Отечественной войны (1941-1945 гг.)"," Республика Саха (Якутия), Олекминский  улус (район), Дабанский наслег, с. Дабан, ул. Центральная, 6",Памятник,"Предметом охраны объекта культурного наследия «Памятник ""Никто не забыт, ничто не забыто"", посвященный погибшим воинам в годы Великой Отечественной войны (1941-1945 гг.)»   являются:  Местоположение и габариты памятника, участвующего в формировании пространственно-композиционного плана площади;   Памятник в виде стилизованной якутской юрты-шатра, выполненный из вертикально установленных 6 деревянных столбов-сэргэ;  Деревянное резное панно, на котором  изображена сцена проводов на войну;  Деревянный якутский коновзяь (сэргэ), в верхней части которого установлен макет Ордена Отечественной войны, в средней части сэргэ имеется текст «70 лет Великой победы» и лавровая ветвь;  Деревянный якутский коновзяь (сэргэ), в средней части плавно переходящий в статую женщины, вырезанную в верхней части столба;  Мемориальные  бетонные тумбы;  Мемориальные таблицы из черного мрамора с фамилиями участников Великой Отечественной войны (1941-45 гг.);  Бетонная дорожка ведущая к памятнику  "
"Памятник воинам-землякам, погибшим в годы Великой Отечественной войны (1941-1945)"," Республика Саха (Якутия), Чурапчинский район, с. Чурапча",Памятник,"Предметом охраны объекта культурного наследия  «Памятник воинам-землякам, погибшим в годы Великой Отечественной войны (1941-1945)» являются:  Местоположение и габариты памятников, участвующих в формировании пространственно-композиционного плана площади;   Стенд в виде двадцати прямоугольных плит, покрытых черным мрамором, с именами участников войны;  Бетонное основание стенда;  Стела с барельефным изображением артиллериста Г.Д.Протодьяконова, увенчанный орденом Победы;  Артиллерийское орудие в оригинале;  Плиты с изображениями маршалов и генералов, участников Великой Отечественной войны;  Стенд с изображениями сцены проводов на войну;  Вечный огонь из металла в виде пятиконечной звезды;  Бетонная тумба, облицованная фиолетовым кафелем, на котором имеется надпись «Имя твое неизвестно, подвиг твой бессмертен»;  Стилизованное изваяние головы лошади из бетона с надписью на боку «1941–1945»;  Поминальный камень из красноватого кварцита с выгравированным гербом и границей Советского Союза и с надписью «Вечная память воинам-землякам, пропавшим без вести в боях за Родину»;  Мраморные таблички с именами воинов-чурапчинцев;  Стилизованное поминальное сэргэ-коновязь;  Стилизованный камелек.  "
"Дом, где жил в 1904-1905 гг. Мещеряков Николай Леонидович – старейший большевик-искровец"," Республика Саха (Якутия), Чурапчинский улус (район), с. Чурапча, ул. Музейная, 2",Памятник,"Предметом охраны объекта культурного наследия «Дом, где жил в 1904-1905 гг. Мещеряков Николай Леонидович – старейший большевик-искровец» являются:  Местоположение и объемно-пространственная характеристика одноэтажного деревянного дома с юртой, участвующего в формировании музейного архитектурного комплекса;  Габариты одноэтажного дома с юртой и характер штукатурки наружных стен юрты;  Высотные отметки дома с юртой без крыши;  Прямоугольные окна с колодами  без наличников;  Дощатые полы, составленные из толстых досок, перегородки и интерьер дома и юрты;  Входная дверь с полотнищем из досок на петлях;  Камелек с железной трубой;  Завалинки по всему периметру;  "
Жилой дом купца А.Е. Корякина – Хорундьа," Республика Саха (Якутия), г. Вилюйск, ул. Октябрьская, 14",Памятник,"Предметом охраны объекта культурного наследия «Жилой дом купца А.Е. Корякина – Хорундьа» являются:  Местоположение и объемно-пространственная характеристика деревянного одноэтажного дома, участвующего в формировании всего комплекса  построек ул. Октябрьская, старинной застройки города;  Габариты и характер столярной обработки стен бревенчатого сруба, венцы, сложенные в углах «в лапу», отесанные стены и перерубы, стропильный характер кровли, высотные отметки вальмовой и двускатной кровли здания, двухступенчатый карниз по периметру;  Конфигурация и оформление исторических (оригинальных) дверных и оконных проемов дома, столярное оформление дверных и оконных проемов с колодами, гвозди, засовы и шарниры (петли) ручной кузнечной работы;  Фасады, расчлененные прямоугольными окнами, обрамленными рамочными наличниками, филенчатыми ставнями с оригинальными кокошниками, накладные барельефные рисунки декора лобаней;  Оригинальные ручной работы прямоугольные рамы в 8 стекол;   Крыльцо со ступеньками, оригинальные ручного пиления доски полового и потолочного перекрытий                  "
"Доходный дом товарищества Е.С. Смоленцева и Н.П. Шмелева, архитектор К.С. Олешкевич"," Республика Татарстан, г. Казань, ул. Баумана, д. 30",Памятник,"1. Местоположение здания с отступом от красной линии улицы Баумана;  2. Объемно-пространственная композиция прямоугольного в плане здания;  высотные отметки по венчающим карнизам и конькам кровли;  3. Конструктивное решение:  - конфигурация, габариты несущих капитальных кирпичных стен;  - конфигурация, габариты кирпичных перемычек оконных и дверных проемов;  - конфигурация, габариты сводчатых перекрытий проездной арки по типу ""Монье"";  - конфигурация, габариты и материал крыши;  - местоположение, конфигурация, габариты дымовых труб;  4. Композиционное и архитектурное решение фасадов:  северный фасад: два ризалита в одну оконную ось с угловыми пилястрами,  поребриками на уровне второго этажа и профилированными капителями с выступающими декоративными элементами; прямоугольные профилированные сандрики первого и второго этажа; подоконные профилированные полочки с дентикулами третьего этажа и над оконными проемами третьего этажа ризалитов; подоконные профилированные полочки с выступающими элементами второго этажа; подоконные профилированные полочки второго этажа; простеночные пилястры в высоту второго и третьего этажа с поребриками на уровне второго этажа и выступающими декоративными элементами на уровне первого и третьего этажа; венчающий профилированный карниз с дентикулами; арочный проем проездной арки первого этажа; прямоугольные сандрики проемов первого этажа;   западный фасад: брандмауэрная стена без декоративных элементов;   южный фасад: прямоугольные профилированные сандрики третьего этажа; венчающий профилированный карниз с дентикулами; арочный проем проездной арки первого этажа;   5. Пропорции, геометрия наружных исторических столярных заполнений дверных проемов (утрачены);   6. Пропорции, геометрия и расстекловка исторических столярных заполнений оконных проемов (частично утрачены). "
Жилой дом," Республика Татарстан, г. Казань, ул. Дзержинского, 27",Памятник,"Предмет охраны объекта культурного наследия республиканского (регионального) значения: «Жилой дом, 1952 г., архитектор А.И.Валеев» по адресу: Республика Татарстан, г. Казань, ул.Дзержинского, 27.    Предметом охраны объекта культурного наследия республиканского (регионального) значения: «Жилой дом, 1952 г., архитектор А.И.Валеев» по адресу: Республика Татарстан, г.Казань, ул.Дзержинского, 27, и подавленного на государственную охрану в соответствии с Постановлением Совета Министров ТАССР от 27.07.87 г. №320 являются:    местоположение здания, градостроительные и композиционные характеристики в структуре исторической застройки (закрепляет красную линяю застройки ул.Дзержинского), территория домовладения в сложившихся  границах;    - объемно-пространственная структура 4х этажного кирпичного здания с подвалом, прямоугольной в плане формы с выступающими прямоугольными ризалитами главного фасада, входные узлы в здание на пшеном и дворовом фасадах;    - конструктивная схема, подлинные кирпичные стены, конструктивное решение плоских перекрытий, местоположение, конструктивное решение и конфигурация балконов    - историческая конфигурация, геометрия и конструктивное решение крыши с кирпичными парапетными столбиками, материал покрытия кровли (листовое железо);    - композиция и архитектурное решение фасадов: вертикальное членение главного фасада выступающими ризалитами на всю высоту' здания на пять неравных частей, горизонтальное членение фасадов на два разновеликих яруса с нижним в 1 этаж и более высоким вторым ярусом в три этажа, местоположение, конфигурация и пропорции исторических оконных и дверных проемов;    - отделка и архитектурные детали фасадов: гладкие оштукатуренные и окрашенные поверхности стен фасадов здания с оштукатуренными,  окрашенными декоративными элементами; выступающий высокий цоколь центральной части с профилированным завершением; прямоугольные окна 1 этажа объединенные профилированным наличником и декорированные картелированными трехчетвертными колоннами с базами и стилизованными капителями с лепным декором в виде полос листов лотоса и аканта в простенках; выделенные входные части главного фасада в виде порталов, оформленных лепной композицией с растительным орнаментом; небольшие балконы с металлическим ограждением полукруглой формы 3 этажа и прямоугольной с балюстрадой - 2 этажа, объединенные общим порталом в обрамлении трехчетвертных каннелированных колон с базами и стилизованными капителями; небольшие балконы 2 этажа, объединенные обидам порталом в обрамлении спаренных трехчетвертных колон с базами и стилизованными капителями; профилированные междуэтажные тяги; железобетонные прямоугольной формы балконы на кронштейнах с кессонными нишами в плоскости балконной плиты и металлическими ограждениями; железобетонные полукруглой формы балконы с орнаментированной розеткой в плоскости балконной плиты и металлическими ограждениями, профилированные подоконные полочки на кронштейнах; завершающий профилированный ступенчатый карниз большого выноса и орнаментальный фриз по периметру здания;    -местоположение, габариты и пропорции первоначальных оконных и дверных проемов;    - декоративное убранство интерьеров 1 этажа: потолочные и карнизные профилированные тяги в обрамлении балок перекрытий и по периметру помещений, лепные розетки с растительным орнаментом."
